menu,voce,descrizione,col,user,profile,right,status,http,count,note,endpoint,params
Analisi Commesse,Commesse,"Vista principale commesse con filtri, export e accesso al dettaglio",Sup,Stefano,Supervisore,T,OK,200,50,OK,/api/commesse/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Supervisore""}"
Analisi Commesse,Commesse,"Vista principale commesse con filtri, export e accesso al dettaglio",RC,lamico,Responsabile Commerciale,T,OK,200,50,OK,/api/commesse/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Responsabile Commerciale""}"
Analisi Commesse,Commesse,"Vista principale commesse con filtri, export e accesso al dettaglio",RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,22,OK,/api/commesse/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Commesse,Commesse,"Vista principale commesse con filtri, export e accesso al dettaglio",RP,eragusa,Responsabile Produzione,T,OK,200,50,OK,/api/commesse/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Responsabile Produzione""}"
Analisi Commesse,Commesse,"Vista principale commesse con filtri, export e accesso al dettaglio",PM,rguarnaccia,Project Manager,P,OK,200,5,OK,/api/commesse/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Project Manager""}"
Analisi Commesse,Commesse,"Vista principale commesse con filtri, export e accesso al dettaglio",GPM,ccampione,General Project Manager,T,OK,200,50,OK,/api/commesse/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""General Project Manager""}"
Analisi Commesse,Commesse,"Vista principale commesse con filtri, export e accesso al dettaglio",HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/commesse/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Risorse Umane""}"
Analisi Commesse,Commesse,"Vista principale commesse con filtri, export e accesso al dettaglio",ROU,ascuderi,Responsabile OU,P,OK,200,38,OK,/api/commesse/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Responsabile OU""}"
Analisi Commesse,Prodotti,Analisi commesse raggruppata per prodotto con totali,Sup,Stefano,Supervisore,T,OK,200,50,OK,/api/prodotti/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Supervisore""}"
Analisi Commesse,Prodotti,Analisi commesse raggruppata per prodotto con totali,RC,lamico,Responsabile Commerciale,T,OK,200,50,OK,/api/prodotti/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Responsabile Commerciale""}"
Analisi Commesse,Prodotti,Analisi commesse raggruppata per prodotto con totali,RCC,aaltana,Responsabile Commerciale Commessa,P,WARN,200,0,Ricerca eseguita ma 0 risultati,/api/prodotti/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Commesse,Prodotti,Analisi commesse raggruppata per prodotto con totali,RP,eragusa,Responsabile Produzione,T,OK,200,50,OK,/api/prodotti/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Responsabile Produzione""}"
Analisi Commesse,Prodotti,Analisi commesse raggruppata per prodotto con totali,PM,rguarnaccia,Project Manager,P,OK,200,2,OK,/api/prodotti/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Project Manager""}"
Analisi Commesse,Prodotti,Analisi commesse raggruppata per prodotto con totali,GPM,ccampione,General Project Manager,T,OK,200,50,OK,/api/prodotti/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""General Project Manager""}"
Analisi Commesse,Prodotti,Analisi commesse raggruppata per prodotto con totali,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/prodotti/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Risorse Umane""}"
Analisi Commesse,Prodotti,Analisi commesse raggruppata per prodotto con totali,ROU,ascuderi,Responsabile OU,P,OK,200,16,OK,/api/prodotti/sintesi,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Responsabile OU""}"
Analisi Commesse,Andamento Mensile,Andamento mensile ricavi/costi/utile/ore,Sup,Stefano,Supervisore,T,OK,200,50,OK,/api/commesse/andamento-mensile,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Supervisore""}"
Analisi Commesse,Andamento Mensile,Andamento mensile ricavi/costi/utile/ore,RC,lamico,Responsabile Commerciale,T,OK,200,50,OK,/api/commesse/andamento-mensile,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Responsabile Commerciale""}"
Analisi Commesse,Andamento Mensile,Andamento mensile ricavi/costi/utile/ore,RCC,aaltana,Responsabile Commerciale Commessa,P,WARN,200,0,Ricerca eseguita ma 0 risultati,/api/commesse/andamento-mensile,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Commesse,Andamento Mensile,Andamento mensile ricavi/costi/utile/ore,RP,eragusa,Responsabile Produzione,T,OK,200,50,OK,/api/commesse/andamento-mensile,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Responsabile Produzione""}"
Analisi Commesse,Andamento Mensile,Andamento mensile ricavi/costi/utile/ore,PM,rguarnaccia,Project Manager,P,WARN,200,0,Ricerca eseguita ma 0 risultati,/api/commesse/andamento-mensile,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Project Manager""}"
Analisi Commesse,Andamento Mensile,Andamento mensile ricavi/costi/utile/ore,GPM,ccampione,General Project Manager,T,OK,200,50,OK,/api/commesse/andamento-mensile,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""General Project Manager""}"
Analisi Commesse,Andamento Mensile,Andamento mensile ricavi/costi/utile/ore,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/commesse/andamento-mensile,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Risorse Umane""}"
Analisi Commesse,Andamento Mensile,Andamento mensile ricavi/costi/utile/ore,ROU,ascuderi,Responsabile OU,P,OK,200,50,OK,/api/commesse/andamento-mensile,"{""anni"": ""2026"", ""take"": ""50"", ""profile"": ""Responsabile OU""}"
Analisi Commesse,Dati Annuali Aggregati,Pivot annuale aggregata per dimensioni di business,Sup,Stefano,Supervisore,T,OK,200,11,OK,/api/commesse/dati-annuali-aggregati,"{""anni"": ""2026"", ""aggregazione"": ""rcc"", ""profile"": ""Supervisore""}"
Analisi Commesse,Dati Annuali Aggregati,Pivot annuale aggregata per dimensioni di business,RC,lamico,Responsabile Commerciale,T,OK,200,11,OK,/api/commesse/dati-annuali-aggregati,"{""anni"": ""2026"", ""aggregazione"": ""rcc"", ""profile"": ""Responsabile Commerciale""}"
Analisi Commesse,Dati Annuali Aggregati,Pivot annuale aggregata per dimensioni di business,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,1,OK,/api/commesse/dati-annuali-aggregati,"{""anni"": ""2026"", ""aggregazione"": ""rcc"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Commesse,Dati Annuali Aggregati,Pivot annuale aggregata per dimensioni di business,RP,eragusa,Responsabile Produzione,T,OK,200,11,OK,/api/commesse/dati-annuali-aggregati,"{""anni"": ""2026"", ""aggregazione"": ""rcc"", ""profile"": ""Responsabile Produzione""}"
Analisi Commesse,Dati Annuali Aggregati,Pivot annuale aggregata per dimensioni di business,PM,rguarnaccia,Project Manager,P,OK,200,2,OK,/api/commesse/dati-annuali-aggregati,"{""anni"": ""2026"", ""aggregazione"": ""rcc"", ""profile"": ""Project Manager""}"
Analisi Commesse,Dati Annuali Aggregati,Pivot annuale aggregata per dimensioni di business,GPM,ccampione,General Project Manager,T,OK,200,11,OK,/api/commesse/dati-annuali-aggregati,"{""anni"": ""2026"", ""aggregazione"": ""rcc"", ""profile"": ""General Project Manager""}"
Analisi Commesse,Dati Annuali Aggregati,Pivot annuale aggregata per dimensioni di business,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/commesse/dati-annuali-aggregati,"{""anni"": ""2026"", ""aggregazione"": ""rcc"", ""profile"": ""Risorse Umane""}"
Analisi Commesse,Dati Annuali Aggregati,Pivot annuale aggregata per dimensioni di business,ROU,ascuderi,Responsabile OU,P,OK,200,3,OK,/api/commesse/dati-annuali-aggregati,"{""anni"": ""2026"", ""aggregazione"": ""rcc"", ""profile"": ""Responsabile OU""}"
Analisi Commesse,Commesse Anomale,Elenco anomalie operative e contabili commesse,Sup,Stefano,Supervisore,T,OK,200,147,OK,/api/commesse/anomale,"{""take"": ""200"", ""profile"": ""Supervisore""}"
Analisi Commesse,Commesse Anomale,Elenco anomalie operative e contabili commesse,RC,lamico,Responsabile Commerciale,T,OK,200,147,OK,/api/commesse/anomale,"{""take"": ""200"", ""profile"": ""Responsabile Commerciale""}"
Analisi Commesse,Commesse Anomale,Elenco anomalie operative e contabili commesse,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,3,OK,/api/commesse/anomale,"{""take"": ""200"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Commesse,Commesse Anomale,Elenco anomalie operative e contabili commesse,RP,eragusa,Responsabile Produzione,T,OK,200,147,OK,/api/commesse/anomale,"{""take"": ""200"", ""profile"": ""Responsabile Produzione""}"
Analisi Commesse,Commesse Anomale,Elenco anomalie operative e contabili commesse,PM,rguarnaccia,Project Manager,P,OK,200,3,OK,/api/commesse/anomale,"{""take"": ""200"", ""profile"": ""Project Manager""}"
Analisi Commesse,Commesse Anomale,Elenco anomalie operative e contabili commesse,GPM,ccampione,General Project Manager,T,OK,200,147,OK,/api/commesse/anomale,"{""take"": ""200"", ""profile"": ""General Project Manager""}"
Analisi Commesse,Commesse Anomale,Elenco anomalie operative e contabili commesse,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/commesse/anomale,"{""take"": ""200"", ""profile"": ""Risorse Umane""}"
Analisi Commesse,Commesse Anomale,Elenco anomalie operative e contabili commesse,ROU,ascuderi,Responsabile OU,P,OK,200,14,OK,/api/commesse/anomale,"{""take"": ""200"", ""profile"": ""Responsabile OU""}"
Analisi Commesse,Utile Mensile RCC,Consuntivo utile mensile con aggregazione RCC,Sup,Stefano,Supervisore,T,OK,200,11,OK,/api/analisi-rcc/utile-mensile-rcc,"{""anni"": ""2026"", ""profile"": ""Supervisore""}"
Analisi Commesse,Utile Mensile RCC,Consuntivo utile mensile con aggregazione RCC,RC,lamico,Responsabile Commerciale,T,OK,200,11,OK,/api/analisi-rcc/utile-mensile-rcc,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale""}"
Analisi Commesse,Utile Mensile RCC,Consuntivo utile mensile con aggregazione RCC,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,1,OK,/api/analisi-rcc/utile-mensile-rcc,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Commesse,Utile Mensile RCC,Consuntivo utile mensile con aggregazione RCC,RP,eragusa,Responsabile Produzione,T,OK,200,11,OK,/api/analisi-rcc/utile-mensile-rcc,"{""anni"": ""2026"", ""profile"": ""Responsabile Produzione""}"
Analisi Commesse,Utile Mensile RCC,Consuntivo utile mensile con aggregazione RCC,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/utile-mensile-rcc,"{""anni"": ""2026"", ""profile"": ""Project Manager""}"
Analisi Commesse,Utile Mensile RCC,Consuntivo utile mensile con aggregazione RCC,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/utile-mensile-rcc,"{""anni"": ""2026"", ""profile"": ""General Project Manager""}"
Analisi Commesse,Utile Mensile RCC,Consuntivo utile mensile con aggregazione RCC,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/utile-mensile-rcc,"{""anni"": ""2026"", ""profile"": ""Risorse Umane""}"
Analisi Commesse,Utile Mensile RCC,Consuntivo utile mensile con aggregazione RCC,ROU,ascuderi,Responsabile OU,P,OK,200,2,OK,/api/analisi-rcc/utile-mensile-rcc,"{""anni"": ""2026"", ""profile"": ""Responsabile OU""}"
Analisi Commesse,Utile Mensile BU,Consuntivo utile mensile con aggregazione BU,Sup,Stefano,Supervisore,T,OK,200,12,OK,/api/analisi-rcc/utile-mensile-bu,"{""anni"": ""2026"", ""profile"": ""Supervisore""}"
Analisi Commesse,Utile Mensile BU,Consuntivo utile mensile con aggregazione BU,RC,lamico,Responsabile Commerciale,T,OK,200,12,OK,/api/analisi-rcc/utile-mensile-bu,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale""}"
Analisi Commesse,Utile Mensile BU,Consuntivo utile mensile con aggregazione BU,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,4,OK,/api/analisi-rcc/utile-mensile-bu,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Commesse,Utile Mensile BU,Consuntivo utile mensile con aggregazione BU,RP,eragusa,Responsabile Produzione,T,OK,200,12,OK,/api/analisi-rcc/utile-mensile-bu,"{""anni"": ""2026"", ""profile"": ""Responsabile Produzione""}"
Analisi Commesse,Utile Mensile BU,Consuntivo utile mensile con aggregazione BU,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/utile-mensile-bu,"{""anni"": ""2026"", ""profile"": ""Project Manager""}"
Analisi Commesse,Utile Mensile BU,Consuntivo utile mensile con aggregazione BU,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/utile-mensile-bu,"{""anni"": ""2026"", ""profile"": ""General Project Manager""}"
Analisi Commesse,Utile Mensile BU,Consuntivo utile mensile con aggregazione BU,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/utile-mensile-bu,"{""anni"": ""2026"", ""profile"": ""Risorse Umane""}"
Analisi Commesse,Utile Mensile BU,Consuntivo utile mensile con aggregazione BU,ROU,ascuderi,Responsabile OU,P,OK,200,1,OK,/api/analisi-rcc/utile-mensile-bu,"{""anni"": ""2026"", ""profile"": ""Responsabile OU""}"
Analisi Risorse,Valutazione Annuale,Vista analitica annuale per risorsa,Sup,Stefano,Supervisore,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Supervisore""}"
Analisi Risorse,Valutazione Annuale,Vista analitica annuale per risorsa,RC,lamico,Responsabile Commerciale,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale""}"
Analisi Risorse,Valutazione Annuale,Vista analitica annuale per risorsa,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Risorse,Valutazione Annuale,Vista analitica annuale per risorsa,RP,eragusa,Responsabile Produzione,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Responsabile Produzione""}"
Analisi Risorse,Valutazione Annuale,Vista analitica annuale per risorsa,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Project Manager""}"
Analisi Risorse,Valutazione Annuale,Vista analitica annuale per risorsa,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""General Project Manager""}"
Analisi Risorse,Valutazione Annuale,Vista analitica annuale per risorsa,HR,agarilli,Risorse Umane,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Risorse Umane""}"
Analisi Risorse,Valutazione Annuale,Vista analitica annuale per risorsa,ROU,ascuderi,Responsabile OU,P,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Responsabile OU""}"
Analisi Risorse,Pivot Annuale,Pivot annuale risorse con aggregazioni multilivello,Sup,Stefano,Supervisore,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Supervisore""}"
Analisi Risorse,Pivot Annuale,Pivot annuale risorse con aggregazioni multilivello,RC,lamico,Responsabile Commerciale,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale""}"
Analisi Risorse,Pivot Annuale,Pivot annuale risorse con aggregazioni multilivello,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Risorse,Pivot Annuale,Pivot annuale risorse con aggregazioni multilivello,RP,eragusa,Responsabile Produzione,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""false"", ""take"": ""100"", ""profile"": ""Responsabile Produzione""}"
